X,Y,OBJECTID_1,OBJECTID,NAME,GIS_ID,SSL,ADDRESS,PHONE,BFC,AMBULANCE,RESCSQUAD,MEDICUNIT,TRUCK,SPECIALTY,DETAIL,TYPE,ENGINE,BATTALION,RENSTATUS,AID,REL_UNITS,WEB_URL
-77.030015614274831,38.903310666175663,16,16.00000000,Engine 16 Station,Fire_024,,1018 13TH STREET NW,(202) 673-3216,6,16.00000000,0.00000000,0.00000000,3.00000000,,"EMS DC's and BC's Office, EMS Quality Assurance Office",Other Station,16.00000000,6.00000000,OPEN,240645.00000000,,http://app.fems.dc.gov/details.asp?cid=60
-76.989928206519622,38.932326221740425,17,17.00000000,Engine 17 Station,Fire_008,3929    0018,1227 MONROE STREET NE,(202) 673-3217,0,0.00000000,0.00000000,0.00000000,0.00000000,,,Other Station,17.00000000,1.00000000,OPEN,294510.00000000,,http://app.fems.dc.gov/details.asp?cid=61
-76.994636838879885,38.883259246668999,18,18.00000000,Engine 18 Station,Fire_020,0925    0826,414 8TH STREET SE,(202) 673-3218,0,18.00000000,0.00000000,0.00000000,7.00000000,,,Other Station,18.00000000,2.00000000,OPEN,280007.00000000,,http://app.fems.dc.gov/details.asp?cid=62
-76.96698728689411,38.871596039744347,19,19.00000000,Engine 19 Station,Fire_005,5582    0800,2813 PENNSYLVANIA AVENUE SE,(202) 673-3219,0,19.00000000,0.00000000,19.00000000,0.00000000,,,Other Station,19.00000000,3.00000000,OPEN,44167.00000000,,http://app.fems.dc.gov/details.asp?cid=63
-77.078422827938638,38.944973579725414,20,20.00000000,Engine 20 Station,Fire_016,1783    0804,4300 WISCONSIN AVENUE NW,(202) 673-3220,5,20.00000000,5.00000000,0.00000000,12.00000000,,,Other Station,20.00000000,5.00000000,OPEN,222965.00000000,,http://app.fems.dc.gov/details.asp?cid=64
-77.042215461127086,38.924771148178927,21,21.00000000,Engine 21 Station,Fire_013,2583    0063,1763 LANIER PLACE NW,(202) 673-3221,0,0.00000000,0.00000000,21.00000000,0.00000000,,,Other Station,21.00000000,5.00000000,OPEN,236004.00000000,Engine 28,http://app.fems.dc.gov/details.asp?cid=65
-77.028338794074372,38.959981077443061,22,22.00000000,Engine 22 Station,Fire_001,PAR 00870005,5760 GEORGIA AVENUE NW,(202) 673-3222,0,22.00000000,0.00000000,0.00000000,11.00000000,,,Other Station,22.00000000,4.00000000,OPEN,294612.00000000,,http://app.fems.dc.gov/details.asp?cid=66
-77.047624792973735,38.898582543543718,23,23.00000000,Engine 23 Station,Fire_027,0079    0005,2119 G STREET NW,(202) 673-3223,0,23.00000000,0.00000000,0.00000000,0.00000000,,,Other Station,23.00000000,6.00000000,OPEN,242505.00000000,,http://app.fems.dc.gov/details.asp?cid=67
-77.027032270385348,38.95214419705281,24,24.00000000,Engine 24 Station,Fire_010,3002    0064,5101 GEORGIA AVENUE NW,(202) 673-3224,0,0.00000000,2.00000000,24.00000000,0.00000000,"RS-2 Support Unit w/small boat, CAR43, CAR44","RS-2 Confined Space Rescue, Swift Water Rescue, HazMat Ops, Office of the Fire Investigators",Other Station,24.00000000,4.00000000,OPEN,251752.00000000,,http://app.fems.dc.gov/details.asp?cid=68
-77.000780073377513,38.843156332407744,25,25.00000000,Engine 25 Station,Fire_003,,3203 MARTIN LUTHER KING JR AVENUE SE,(202) 673-3225,0,25.00000000,0.00000000,0.00000000,0.00000000,,,Other Station,25.00000000,3.00000000,OPEN,278344.00000000,,http://app.fems.dc.gov/details.asp?cid=69
-76.986768180795195,38.924786580683701,26,26.00000000,Engine 26 Station,Fire_009,3956    0802,1340 RHODE ISLAND AVENUE NE,(202) 673-3226,0,0.00000000,0.00000000,26.00000000,15.00000000,,,Other Station,26.00000000,1.00000000,OPEN,294518.00000000,,http://app.fems.dc.gov/details.asp?cid=70
-76.943247690616616,38.901084321573542,27,27.00000000,Engine 27 Station,Fire_007,5076    0800,4201 MINNESOTA AVENUE NE,(202) 673-3227,0,27.00000000,0.00000000,27.00000000,0.00000000,,,Other Station,27.00000000,2.00000000,OPEN,294591.00000000,,http://app.fems.dc.gov/details.asp?cid=71
-77.059403570168882,38.936344758335892,28,28.00000000,Engine 28 Station,Fire_014,2068    0809,3522 CONNECTICUT AVENUE NW,(202) 673-3228,0,0.00000000,0.00000000,0.00000000,0.00000000,,,Other Station,28.00000000,5.00000000,CLOSED,220960.00000000,,http://app.fems.dc.gov/details.asp?cid=72
-77.093523629522494,38.915565015395615,29,29.00000000,Engine 29 Station,Fire_017,1372    0808,4811 MACARTHUR BOULEVARD NW,(202) 673-3229,0,0.00000000,0.00000000,0.00000000,5.00000000,,,Other Station,29.00000000,5.00000000,OPEN,284959.00000000,,http://app.fems.dc.gov/details.asp?cid=73
-76.933396361306322,38.890695085319187,30,30.00000000,Engine 30 Station,Fire_006,5140    0810,50 49TH STREET NE,(202) 673-3230,0,30.00000000,0.00000000,30.00000000,17.00000000,,,Other Station,30.00000000,2.00000000,OPEN,156317.00000000,,http://app.fems.dc.gov/details.asp?cid=74
-77.069910202740374,38.954240210690678,31,31.00000000,Engine 31 Station,Fire_015,1983    0807,4930 CONNECTICUT AVENUE NW,(202) 673-3231,0,0.00000000,0.00000000,31.00000000,14.00000000,,,Other Station,31.00000000,5.00000000,OPEN,294604.00000000,,http://app.fems.dc.gov/details.asp?cid=75
-76.971365911508428,38.852639973519054,32,32.00000000,Engine 32 Station,Fire_004,5845    0833,2425 IRVING STREET SE,(202) 673-3232,0,32.00000000,0.00000000,0.00000000,16.00000000,EMS 3,Emergency Medical Supervisor 3,Other Station,32.00000000,3.00000000,OPEN,47304.00000000,,http://app.fems.dc.gov/details.asp?cid=76
-77.02084917673821,38.873874727482772,33,34.00000000,"Fire Boats 1, 2, and 3",Fire_033,,550 WATER STREET SW,(202) 673-3200,0,0.00000000,0.00000000,0.00000000,0.00000000,Fire Boat Support Unit,,Other Station,0.00000000,6.00000000,OPEN,294491.00000000,,http://app.fems.dc.gov/details.asp?cid=78
-77.025366440350084,38.916291979417949,34,35.00000000,HQ Fire and Emergency Medical Servic,Fire_034,,1923 VERMONT AVENUE NW,(202) 673-3320,0,0.00000000,0.00000000,0.00000000,0.00000000,,Old Grimke School,HeadQuarters,0.00000000,4.00000000,OPEN,239514.00000000,,http://app.fems.dc.gov/details.asp?cid=83
-77.019392655940379,38.883606384340901,35,13.00000000,Engine 13 Station,Fire_023,0494    0028,450 6TH STREET SW,(202) 673-3213,0,13.00000000,0.00000000,0.00000000,10.00000000,"Foam Unit 1 & 2, Twinned Agent Unit 1, Truck 10 w/135 foot ladder",,Other Station,13.00000000,6.00000000,OPEN,294488.00000000,,http://app.fems.dc.gov/details.asp?cid=57
